week,Aeropuertos y vuelos,Ley y crimen,La pandemia del COVID-19 y su impacto,La industria petrolera,Economía,Tren Maya,Salud y medicina,Reformas políticas,Fronteras e inmigración,Energía y minería,COVID-19 y su vacunación,Problemas sociales y justicia penal,Deportes y turismo,Relaciones políticas entre México y Perú
2020-11-09,0.023297152,0.017440585,0.08510915,0.0703867,0.11247793,0.036083546,0.028587438,0.10904337,0.025808528,0.16297638,0.19638693,0.035123825,0.066625535,0.030652912
2020-11-16,0.02535253,0.022792473,0.060936242,0.069149636,0.12008524,0.04439906,0.04876555,0.20415972,0.019787747,0.043584738,0.20948605,0.039813895,0.058715113,0.032972045
2020-11-23,0.03458069,0.04228205,0.08104433,0.0835125,0.1447106,0.04493228,0.04773078,0.08812977,0.018462848,0.08046139,0.20851752,0.052897792,0.055084072,0.017653355
2020-11-30,0.0510152,0.0126020145,0.063035786,0.0889266,0.11669318,0.042187255,0.04566689,0.12558846,0.034340855,0.0453304,0.27080807,0.03801721,0.042301245,0.023486868
2020-12-07,0.032901812,0.027356006,0.06542858,0.077849716,0.09439672,0.06382838,0.04364005,0.14993995,0.030540895,0.015246687,0.31076846,0.028599745,0.035804622,0.023698365
2020-12-14,0.028669799,0.026132418,0.08416067,0.07261624,0.12177842,0.05134529,0.047233492,0.123280525,0.024118772,0.03140214,0.27785867,0.044078182,0.04540142,0.021923939
2020-12-21,0.042582717,0.01586181,0.08379167,0.080184735,0.08742184,0.046964653,0.023759024,0.09134457,0.027349891,0.039433297,0.35716262,0.03810518,0.050911702,0.015126344
2020-12-28,0.02262794,0.0122923935,0.08891845,0.061667502,0.10654065,0.039684754,0.027083304,0.07234293,0.011573369,0.072662555,0.40558654,0.02936938,0.039213207,0.010437037
2021-01-04,0.035208624,0.024817508,0.06456018,0.0704829,0.12697585,0.043936726,0.030559678,0.063456446,0.023319872,0.032257438,0.36618453,0.0312349,0.055957604,0.031047765
2021-01-11,0.02259906,0.03099551,0.062465545,0.059359472,0.06270847,0.050697807,0.038727064,0.09991918,0.025023688,0.026752057,0.44277412,0.031497303,0.025151435,0.02132926
